City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gewane,10.1664,40.6453,85.82,50,15,4.56,ET,1712437973
1,narsaq,60.9167,-46.05,34.02,72,100,1.39,GL,1712437734
2,vaini,-21.2,-175.2,80.76,69,40,14.97,TO,1712437735
3,albany,42.6001,-73.9662,45.03,67,100,4.0,US,1712437762
4,katsuura,35.1333,140.3,57.22,93,99,9.98,JP,1712437975
5,kapaa,22.0752,-159.319,80.58,68,75,19.57,US,1712437828
6,cape town,-33.9258,18.4232,66.11,59,21,18.99,ZA,1712437976
7,tateyama,34.9833,139.8667,58.1,93,100,10.0,JP,1712437976
8,iqaluit,63.7506,-68.5145,13.69,72,89,28.99,CA,1712437736
9,nola,40.922,14.5329,60.64,69,7,0.49,IT,1712437588
10,khatanga,71.9667,102.5,7.83,95,100,13.0,RU,1712437977
11,mataura,-46.1927,168.8643,51.58,95,53,0.51,NZ,1712437977
12,ushuaia,-54.8,-68.3,37.06,81,75,24.16,AR,1712437978
13,namibe,-15.1961,12.1522,74.86,74,89,6.6,AO,1712437979
14,geraldton,-28.7667,114.6,64.81,94,40,5.75,AU,1712437979
15,santa cruz cabralia,-16.2781,-39.0247,80.83,78,40,3.44,BR,1712437979
16,busselton,-33.65,115.3333,61.07,72,3,16.31,AU,1712437980
17,chokurdakh,70.6333,147.9167,-9.71,91,100,3.29,RU,1712437980
18,alice springs,-23.7,133.8833,49.55,81,8,4.61,AU,1712437981
19,rikitea,-23.1203,-134.9692,76.98,68,75,8.21,PF,1712437981
20,vila velha,-20.3297,-40.2925,80.55,79,40,11.5,BR,1712437791
21,pevek,69.7008,170.3133,-2.6,97,100,3.15,RU,1712437982
22,severo-kurilsk,50.6789,156.125,34.34,66,23,5.12,RU,1712437982
23,kedrovyy,56.1667,91.8167,28.81,96,100,3.22,RU,1712437983
24,vuktyl,63.8567,57.3094,23.11,74,100,8.01,RU,1712437983
25,mahanoro,-19.9,48.8,73.69,93,24,3.76,MG,1712437984
26,hilo,19.7297,-155.09,76.95,76,40,12.66,US,1712437830
27,constitucion,-35.3333,-72.4167,65.05,59,0,16.49,CL,1712437856
28,gamba,-2.65,10.0,77.97,91,100,4.54,GA,1712437986
29,minsk,53.9,27.5667,44.35,90,94,8.68,BY,1712437841
30,meiganga,6.5167,14.3,72.19,71,99,5.35,CM,1712437986
31,punta arenas,-53.15,-70.9167,42.91,65,40,23.02,CL,1712437966
32,torbat-e jam,35.244,60.6225,60.33,45,0,3.76,IR,1712437987
33,daru,-9.0763,143.2092,78.01,93,43,4.72,PG,1712437987
34,manhattan,40.7834,-73.9662,52.93,43,100,16.11,US,1712437764
35,la asuncion,11.0333,-63.8628,81.95,72,63,18.95,VE,1712437988
36,gao,16.6362,1.637,89.22,9,1,12.71,ML,1712437989
37,kargat,55.1956,80.2811,40.19,96,76,15.75,RU,1712437989
38,bakchar,57.0186,82.0711,26.87,86,100,12.55,RU,1712437990
39,tiksi,71.6872,128.8694,-18.2,97,79,6.2,RU,1712437990
40,new norfolk,-42.7826,147.0587,56.71,91,100,2.17,AU,1712437990
41,pachino,36.7186,15.0907,61.02,67,51,5.61,IT,1712437991
42,port hawkesbury,45.6169,-61.3485,36.59,98,100,10.0,CA,1712437991
43,raahe,64.6833,24.4833,28.49,94,100,10.74,FI,1712437992
44,pisco,-13.7,-76.2167,77.05,73,72,23.02,PE,1712437914
45,xinan,26.72,119.8556,55.22,98,100,1.95,CN,1712437967
46,mar del plata,-38.0023,-57.5575,77.95,49,0,8.99,AR,1712437886
